Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
25-34,Other,Western Expat,Retired,">50,000",Ajman,Occasionally,Social Media,"Vegetarian, Gluten-Free","Water, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Affordable Price","Lack of Time, Taste Preferences, None",Cafes/Restaurants,5-10,Likely,Yes,"Recommendations, Attractive Packaging, Health Benefits","Berries, Herbal, Chocolate","Immunity, Digestion, Stress Relief, No Specific Issues","Not Widely Available, Other","BrandC, BrandA, BrandD",Neutral,No,
25-34,Female,Other,Retired,"10,001-20,000",Sharjah,Never,Other,"Vegetarian, Gluten-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Low Sugar, Affordable Price, Brand Reputation","Lack of Time, Taste Preferences, None",Convenience Stores,>25,Unlikely,Maybe,"Recommendations, Health Benefits, Other","Plain, Other","Energy, Weight Management, Skin/Hair health","Not Widely Available, High Quality, Innovative","BrandA, Brand_I",Very Unlikely,Yes,
Under 18,Male,Western Expat,Working Professional,"10,001-20,000",Ajman,Rarely,Friends/Family,"Vegan, Lactose-Free, Diabetic","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Other",Extremely Important,"Taste, Added Vitamins, Convenience","Lack of Time, Limited Options, None",Convenience Stores,11-15,Very Likely,Yes,"Free Samples, Attractive Packaging, Health Benefits, Other","Plain, Other","Digestion, Weight Management, Stress Relief","Not Widely Available, High Quality, Innovative","BrandC, Brand_O",Very Unlikely,Yes,
55+,Female,Asian Expat,Student,"<5,000",Dubai,Daily,Friends/Family,"Vegetarian, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee",Extremely Important,"Low Sugar, Natural Ingredients, Affordable Price","Lack of Time, Cost, Taste Preferences",Cafes/Restaurants,11-15,Very Likely,Maybe,"Free Samples, Discounts, Other","Berries, Citrus, Herbal","Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty","BrandE, Brand_I, BrandD",Very Unlikely,No,
35-44,Prefer not to say,Other,Business Owner,"5,000-10,000",Sharjah,Never,Social Media,"Vegetarian, Vegan","Juices, Milk",Extremely Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Convenience, Other","Lack of Time, Cost, Taste Preferences, None",Other,11-15,Likely,No,"Free Samples, Attractive Packaging, Health Benefits","Citrus, Herbal, Chocolate","Digestion, Skin/Hair health","Not Tasty, Not Widely Available, Good Value, Other","BrandB, Brand_R",Very Unlikely,No,
35-44,Other,Other,Student,">50,000",Other,Frequently,Friends/Family,"Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation","Lack of Time, Taste Preferences",Convenience Stores,16-25,Very Likely,Maybe,"Discounts, Health Benefits","Citrus, Herbal, Plain","Immunity, Weight Management, Skin/Hair health","Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, Brand_Q",Neutral,No,
45-54,Prefer not to say,Other,Retired,">50,000",Abu Dhabi,Frequently,Friends/Family,Gluten-Free,"Water, Energy Drinks, Sports Drinks, Milk",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Brand Reputation","Lack of Time, Lack of Information, Limited Options, None",Other,5-10,Likely,No,"Free Samples, Discounts, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate, Other","Digestion, Weight Management","Too Expensive, Not Tasty, Innovative, Other","BrandC, Brand_K, BrandB",Likely,Yes,
45-54,Other,Emirati,Retired,"35,001-50,000",Dubai,Frequently,Health Professionals,"Vegetarian, Lactose-Free, Diabetic","Juices, Milk",Not Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Cost",Gyms,5-10,Likely,Maybe,"Free Samples, Discounts, Recommendations","Berries, Herbal, Other",Energy,"Too Expensive, Not Tasty, Not Widely Available","Brand_T, BrandB, BrandD",Neutral,Maybe,
35-44,Prefer not to say,Other,Homemaker,"35,001-50,000",Dubai,Daily,Friends/Family,Vegetarian,"Juices, Sports Drinks",Not Important,"Low Sugar, Natural Ingredients, Affordable Price, Convenience","Lack of Time, Limited Options, None",Gyms,5-10,Very Unlikely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging","Berries, Tropical, Other","Immunity, Weight Management, Skin/Hair health","Not Widely Available, Good Value, Other","Brand_N, BrandB",Very Unlikely,Yes,
45-54,Female,Western Expat,Homemaker,"20,001-35,000",Other,Never,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Tea/Coffee, Milk",Important,"Taste, Added Vitamins, Affordable Price","Cost, None",Online,5-10,Neutral,No,"Attractive Packaging, Health Benefits","Berries, Citrus, Chocolate, Plain","Immunity, Energy, Skin/Hair health, No Specific Issues","Too Expensive, Innovative, Other","Brand_G, BrandA",Likely,Maybe,
